Estado,Porcentaje
Alabama,13.0
Alaska,5.2
Arizona,13.2
Arkansas,14.4
California,10.5
Carolina del Norte,12.5
Carolina del Sur,12.1
Colorado,11.0
Connecticut,14.3
Dakota del Norte,14.5
Dakota del Sur,14.4
Delaware,12.8
Florida,18.5
Georgia,9.9
Hawai,12.9
Idaho,11.4
Illinois,12.5
Indiana,12.6
Iowa,15.2
Kansas,13.7
Kentucky,12.6
Luisiana,11.4
Maine,13.9
Maryland,11.4
Massachusetts,14.1
Michigan,12.4
Minnesota,12.4
Misisipí,12.3
Misuri,13.8
Montana,13.2
Nebraska,13.8
Nevada,11.4
New Hampshire,12.0
Nueva Jersey,13.8
Nueva York,13.4
Nuevo México,11.0
Ohio,13.4
Oklahoma,13.5
Oregón,13.4
Pensilvania,15.9
Rhode Island,15.8
Tejas,10.2
Tennessee,12.5
Utah,8.8
Vermont,12.1
Virginia,11.2
Virginia Occidental,15.2
Washington,11.6
Wisconsin,13.3
Wyoming,11.2
